CODLOCAL,CEN_EDU_L,CODCPSIG,NOMCPSIG,FUENTE_LOC,X_LONGITUD,Y_LATITUD,Fecha,VAL,NALT_LOCAL,CORD_YX
327121,LOS PEREGRINOS,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-77.00191000000,-12.02374000000,10/27/2016,,206,-12.02374-77.00191
327668,LA ALEGRIA DE JESUS,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-77.00173000000,-12.02634000000,10/25/2016,,208,-12.02634-77.00173
325754,JOSEPH NOVAK,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-77.01489000000,-11.98681000000,11/9/2016,,228,-11.98681-77.01489
327767,EL TRIUNFO,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-77.00980000000,-11.99543000000,10/26/2016,,218,-11.99543-77.0098
324028,098,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-76.99467000000,-11.98614000000,10/27/2016,,243,-11.98614-76.99467
326975,NUESTRO SE├æOR DE LA ASENCION,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-76.97377000000,-12.02512000000,10/25/2016,,250,-12.02512-76.97377
326579,RAMON CASTILLA,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-77.00654000000,-11.97112000000,10/27/2016,,250,-11.97112-77.00654
326744,13 DE AGOSTO,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-76.97914000000,-11.94352000000,10/31/2016,,372,-11.94352-76.97914
326541,PACO YUNQUE,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-76.98298000000,-11.94977000000,10/31/2016,,344,-11.94977-76.98298
327079,SAN JUAN BAUTISTA,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-76.99171000000,-12.02485000000,10/25/2016,,223,-12.02485-76.99171
566041,LOS HIJOS DE MARIA,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-76.99467000000,-12.02649000000,11/10/2016,,218,-12.02649-76.99467
324622,0132 TORIBIO DE LUZURIAGA Y MEJIA,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-77.01833000000,-11.98142000000,10/27/2016,,259,-11.98142-77.01833
324655,0136 SANTA ROSA MILAGROSA,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-77.00184000000,-11.96671000000,10/27/2016,,259,-11.96671-77.00184
324429,0073 BENITO JUAREZ,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-76.98722000000,-12.02453000000,11/8/2016,,229,-12.02453-76.98722
324778,0152 JOSE CARLOS MARIATEGUI,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-76.98500000000,-11.94065000000,11/2/2016,,362,-11.94065-76.985
327507,ANTON MAKARENKO,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-76.98007000000,-11.94975000000,11/3/2016,,353,-11.94975-76.98007
328106,INGENIOS SCHOOL,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-76.98583000000,-11.98086000000,10/27/2016,,304,-11.98086-76.98583
326584,SAN FRANCISCO DE AMERICA,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-76.99059000000,-11.95417000000,10/31/2016,,308,-11.95417-76.99059
326598,SAN IGNACIO,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-77.01159000000,-12.02249000000,11/2/2016,,206,-12.02249-77.01159
326555,GAKUSEI,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-76.99892000000,-11.97439000000,10/27/2016,,249,-11.97439-76.99892
328465,ALMIRANTE MIGUEL GRAU,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-76.99077000000,-11.96302000000,10/27/2016,,283,-11.96302-76.99077
812358,MATEMATICO CATOLICO SAN JUAN,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-76.99868000000,-12.01206000000,11/3/2016,,214,-12.01206-76.99868
325872,SAN JUAN DE LAS AMERICAS,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-77.01111000000,-11.98079000000,10/27/2016,,228,-11.98079-77.01111
326720,SANTO DOMINGO DE GUZMAN,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-77.01013000000,-12.01887000000,10/27/2016,,209,-12.01887-77.01013
328578,LOS SIERVOS DE JESUS,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-76.99848000000,-11.94096000000,10/31/2016,,395,-11.94096-76.99848
328521,STEPHEN HAWKING,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-77.00316000000,-12.02446000000,10/25/2016,,205,-12.02446-77.00316
328620,NUESTRA AMERICA,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-76.99775000000,-12.01612000000,10/31/2016,,221,-12.01612-76.99775
328007,PAMER - SAN JUAN DE LURIGANCHO,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-77.01022000000,-11.98182000000,10/27/2016,,227,-11.98182-77.01022
347609,TRILCE PRIMARIA SAN JUAN,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-76.99880000000,-12.00394000000,10/31/2016,,217,-12.00394-76.9988
339888,CRISTO NAZARENO,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-76.99704000000,-12.00012000000,10/27/2016,,231,-12.00012-76.99704
715734,JEAN LEBLANC VENNE,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-77.01067000000,-11.99294000000,11/3/2016,,221,-11.99294-77.01067
715338,ANGLO AMERICANO,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-77.00219000000,-11.98815000000,11/3/2016,,224,-11.98815-77.00219
525442,INGENIERIA,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-76.98882000000,-12.02522000000,10/25/2016,,228,-12.02522-76.98882
513161,CAYETANO HEREDIA SANCHEZ,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-77.00464000000,-12.01329000000,11/3/2016,,210,-12.01329-77.00464
713773,BERTOLT BRECHT BREZING,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-77.00768000000,-11.97997000000,11/4/2016,,231,-11.97997-77.00768
714490,BLANCA NIEVES,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-76.99832000000,-11.96696000000,11/3/2016,,263,-11.96696-76.99832
715084,DIVINO CORAZON DE JESUS,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-77.01158000000,-12.02244000000,11/2/2016,,206,-12.02244-77.01158
814003,JESUS EL GRAN MAESTRO,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-77.01914000000,-11.99325000000,11/3/2016,,266,-11.99325-77.01914
713725,CREAR,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-76.99621000000,-12.02551000000,11/3/2016,,217,-12.02551-76.99621
714310,CEBA - PERUANO BRITANICO,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-77.00252000000,-11.95169000000,11/4/2016,,324,-11.95169-77.00252
811472,JOSEPH NOVAK SCHOOL I,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-77.01577000000,-11.98561000000,11/9/2016,,228,-11.98561-77.01577
715395,WALDORF ZARATE,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-76.99837000000,-12.01952000000,11/11/2016,,212,-12.01952-76.99837
325018,MICAELA BASTIDAS,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-77.01046000000,-12.01896000000,10/26/2016,,208,-12.01896-77.01046
327395,OFIMTEC,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-77.00031000000,-12.02492000000,11/4/2016,,209,-12.02492-77.00031
706763,PACO YUNQUE,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-76.98291000000,-11.94967000000,10/31/2016,,344,-11.94967-76.98291
707300,SAINT JOHN'S PRIVATE SCHOOL,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-77.01470000000,-11.97949000000,11/2/2016,,247,-11.97949-77.0147
812042,TRILCE WISSE,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-76.99505000000,-11.97225000000,10/31/2016,,257,-11.97225-76.99505
3691443,RAYITO DE SOL II,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-76.96870000000,-11.94375000000,10/10/2016,,425,-11.94375-76.9687
649230,KENN OPPERMAN,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-77.00622000000,-11.98389000000,11/24/2016,,229,-11.98389-77.00622
777048,NI├æO MANUELITO - A,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-76.98262000000,-11.94034000000,11/14/2016,,378,-11.94034-76.98262
777086,ESPERANZA DEL PERU,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-77.00367000000,-11.94222000000,11/14/2016,,463,-11.94222-77.00367
777067,CRISTO REY - A,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-77.01093000000,-11.93936000000,11/14/2016,,524,-11.93936-77.01093
777543,ESTRELLITA DE BELEN - A,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-76.99278000000,-11.94576000000,11/14/2016,,368,-11.94576-76.99278
777661,JULIA VALENZUELA - I,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-77.01463000000,-11.93908000000,11/14/2016,,607,-11.93908-77.01463
780036,SAN VICENTE DE PAUL S.F.,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-76.98503000000,-11.97847000000,11/14/2016,,297,-11.97847-76.98503
715220,CEBA - SIGMA,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-76.99993000000,-11.94122000000,11/23/2016,,401,-11.94122-76.99993
0563813,MI PEQUE├æO MUNDO V,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-76.98867000000,-11.93472000000,11/16/2016,,400,-11.93472-76.98867
3712831,RAYITO DE LUZ DE BELEN,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-77.01464000000,-11.96562000000,11/24/2016,,313,-11.96562-77.01464
