UBIGEO,DEP,PROV,DIST,CODCP,NOMCP,MNOMCP,CAPITAL,CON_IE,NIVEL,CPINEI,CPINEI2,CPINEI_BKP,FUENTE_G,Z,XGD,YGD,Y_X_COORD
150502,LIMA,CA├æETE,ASIA,114631,Asia,ASIA,3,1,IPS,1505020001,,1505020001,MED-GPS,47,-76.55663117,-12.77944867,-89.33607984
90406,HUANCAVELICA,CASTROVIRREYNA,COCAS,121163,Cocas,COCAS,3,1,GIPS,904060001,,904060001,MED-GPS,3240,-75.37243929,-13.2759036,-88.64834289
50105,AYACUCHO,HUAMANGA,CHIARA,131650,Chiara,CHIARA,3,1,IPS,501050001,,501050001,MED-GPS,3515,-74.20575416,-13.27319439,-87.47894855
50114,AYACUCHO,HUAMANGA,VINCHOS,114551,Vinchos,VINCHOS,3,1,P,501140001,,501140001,MED-GPS,3131,-74.35424067,-13.24194438,-87.59618505
90407,HUANCAVELICA,CASTROVIRREYNA,HUACHOS,118384,Huachos,HUACHOS,3,1,IPSL,904070001,,904070001,MED-GPS,2743,-75.53364164,-13.2199179,-88.75355954
50102,AYACUCHO,HUAMANGA,ACOCRO,119663,Acocro,ACOCRO,3,1,IPS,501020001,,501020001,MED-GPS,3251,-74.04194723,-13.21913484,-87.26108207
81103,CUSCO,PAUCARTAMBO,CHALLABAMBA,120754,Challabamba,CHALLABAMBA,3,1,IPSD,811030001,,811030001,MED-GPS,2831,-71.64864314,-13.21517078,-84.86381392
50112,AYACUCHO,HUAMANGA,SOCOS,117014,Socos,SOCOS,3,1,IPSL,501120001,,501120001,MED-GPS,3395,-74.28926586,-13.21459806,-87.50386392
90402,HUANCAVELICA,CASTROVIRREYNA,ARMA,118383,Villa de Arma,VILLA DE ARMA,3,1,IPSL,904020001,,904020001,MED-GPS,3330,-75.54186215,-13.12591653,-88.66777868
50505,AYACUCHO,LA MAR,CHUNGUI,127897,Chungui,CHUNGUI,3,1,IPS,505050001,,505050001,MED-GPS,3514,-73.621572,-13.22203192,-86.84360392
90410,HUANCAVELICA,CASTROVIRREYNA,SAN JUAN,123960,San Juan,SAN JUAN,3,1,IPS,904100001,,904100001,MED-GPS,1909,-75.63449489,-13.20340191,-88.8378968
110208,ICA,CHINCHA,SAN JUAN DE YANAC,111632,San Juan De Yanac,SAN JUAN DE YANAC,3,1,IPS,1102080001,,1102080001,MED-GPS,2529,-75.78679782,-13.21096666,-88.99776448
50504,AYACUCHO,LA MAR,CHILCAS,110762,Chilcas,CHILCAS,3,1,IPS,505040001,,505040001,MED-GPS,3194,-73.90679847,-13.17133137,-87.07812984
50103,AYACUCHO,HUAMANGA,ACOS VINCHOS,121016,Acos Vinchos,ACOS VINCHOS,3,1,IPS,501030001,,501030001,MED-GPS,2850,-74.09983375,-13.11256033,-87.21239408
151020,LIMA,YAUYOS,MADEAN,123638,Madean,MADEAN,3,1,IPS,1510200001,,1510200001,MED-GPS,3275,-75.77727174,-12.94461476,-88.7218865
90309,HUANCAVELICA,ANGARAES,JULCAMARCA,117556,Julcamarca,JULCAMARCA,3,1,IPSKL,903090001,,903090001,MED-GPS,3415,-74.44458527,-13.01443428,-87.45901955
50113,AYACUCHO,HUAMANGA,TAMBILLO,129468,Tambillo,TAMBILLO,3,1,IPS,501130001,,501130001,MED-GPS,3082,-74.11097434,-13.19452882,-87.30550316
50115,AYACUCHO,HUAMANGA,JESUS NAZARENO,120338,Las Nazarenas,LAS NAZARENAS,3,1,GIPSD,501150001,,501150001,MED-GPS,2755,-74.21557145,-13.1547365,-87.37030795
50104,AYACUCHO,HUAMANGA,CARMEN ALTO,118199,Carmen Alto,CARMEN ALTO,3,1,IPSLD,501040001,,501040001,MED-GPS,2801,-74.22639187,-13.17572834,-87.40212021
50111,AYACUCHO,HUAMANGA,SANTIAGO DE PISCHA,119096,San Pedro de Cachi,SAN PEDRO DE CACHI,3,1,IPS,501110001,,501110001,MED-GPS,3186,-74.39300434,-13.08528485,-87.47828919
150508,LIMA,CA├æETE,LUNAHUANA,122738,Lunahuana,LUNAHUANA,3,0,,1505080001,,1505080001,MED-GPS,480,-76.14001502,-12.96291216,-89.10292718
150507,LIMA,CA├æETE,IMPERIAL,133160,Imperial,IMPERIAL,3,1,GIPSLD,1505070001,,1505070001,MED-GPS,86,-76.3528769,-13.06102615,-89.41390305
50110,AYACUCHO,HUAMANGA,SAN JUAN BAUTISTA,130156,San Juan Bautista,SAN JUAN BAUTISTA,3,1,GIPSKL,501100001,,501100001,MED-GPS,2737,-74.22356175,-13.16609926,-87.38966101
81304,CUSCO,URUBAMBA,MACHUPICCHU,117721,Machupicchu,MACHUPICCHU,3,1,IPS,813040001,,813040001,INEI,2047,-72.52574814,-13.1543842,-85.68013234
170102,MADRE DE DIOS,TAMBOPATA,INAMBARI,133319,Mazuko,MAZUKO,3,1,IPSD,1701020001,,1701020001,MED-GPS,362,-70.36772839,-13.10106717,-83.46879556
100317,HUANUCO,DOS DE MAYO,RIPAN,114996,Ripan,RIPAN,3,1,IPSK,1003170001,,1003170001,MED-GPS,3200,-76.80308274,-9.82842404,-86.63150678
100104,HUANUCO,HUANUCO,CHURUBAMBA,133385,Churubamba,CHURUBAMBA,3,1,I,1001040001,,1001040001,MED-GPS,1916,-76.13328512,-9.82613739,-85.95942251
90408,HUANCAVELICA,CASTROVIRREYNA,HUAMATAMBO,117386,Huamatambo,HUAMATAMBO,3,1,IPS,904080001,,904080001,MED-GPS,3041,-75.67742689,-13.09465904,-88.77208593
90412,HUANCAVELICA,CASTROVIRREYNA,TANTARA,124927,Tantara,TANTARA,3,1,GIPSL,904120001,,904120001,MED-GPS,2884,-75.64483764,-13.07376478,-88.71860242
110203,ICA,CHINCHA,CHAVIN,121586,Chavin,CHAVIN,3,1,IPS,1102030001,,1102030001,MED-GPS,3160,-75.91299797,-13.07704222,-88.99004019
90310,HUANCAVELICA,ANGARAES,SAN ANTONIO DE ANTAPARCO,121343,Antaparco,ANTAPARCO,3,1,IPS,903100001,,903100001,MED-GPS,2752,-74.41155776,-13.0764329,-87.48799066
150510,LIMA,CA├æETE,NUEVO IMPERIAL,130984,Nuevo Imperial,NUEVO IMPERIAL,3,1,IPSL,1505100001,,1505100001,MED-GPS,152,-76.31783864,-13.07616727,-89.39400591
151011,LIMA,YAUYOS,COLONIA,113260,Colonia / Pampas,COLONIA / PAMPAS,3,1,IPS,1510110001,,1510110001,MED-GPS,3362,-75.89021008,-12.63362621,-88.52383629
50509,AYACUCHO,LA MAR,SAMUGARI,213929,Palmapampa,PALMAPAMPA,3,1,IPSD,505090001,,505090001,MED-GPS,746,-73.65627808,-12.76842581,-86.42470389
151005,LIMA,YAUYOS,AZANGARO,127744,Azangaro,AZANGARO,3,1,IPSL,1510050001,,1510050001,MED-GPS,3412,-75.83692186,-12.99990829,-88.83683015
80912,CUSCO,LA CONVENCION,VILLA VIRGEN,214513,Villa Virgen,VILLA VIRGEN,3,1,IPS,809120001,,809090036,IMG_SATELITAL,726,-73.51278115,-13.0022085,-86.51498965
80404,CUSCO,CALCA,LARES,120956,Lares,LARES,3,1,IPS,804040001,,804040001,MED-GPS,3190,-72.04443065,-13.10429703,-85.14872768
40123,AREQUIPA,AREQUIPA,TIABAYA,125909,Tiabaya,TIABAYA,3,1,GIPSED,401230001,,401230001,INEI,2173,-71.59140946,-16.44972895,-88.04113841
40117,AREQUIPA,AREQUIPA,SACHACA,119128,Sachaca,SACHACA,3,1,GIPS,401170001,,401170001,INEI,2259,-71.56668978,-16.42463929,-87.99132907
211302,PUNO,YUNGUYO,ANAPIA,521720,Anapia,ANAPIA,3,1,GIPS,2113020001,,2113020001,MED-GPS,3859,-68.85297169,-16.31402101,-85.1669927
210111,PUNO,PUNO,PICHACANI,222088,Laraqueri,LARAQUERI,3,1,IPS,2101110001,,2101110001,MED-GPS,3952,-70.06391327,-16.14879117,-86.21270444
40109,AREQUIPA,AREQUIPA,MARIANO MELGAR,549078,Mariano Melgar,MARIANO MELGAR,3,1,GIPSKLED,401090001,,401090001,INEI,2423,-71.50562497,-16.40695647,-87.91258143
211303,PUNO,YUNGUYO,COPANI,127089,Copani,COPANI,3,1,GIP,2113030001,,2113030001,MED-GPS,3848,-69.04045845,-16.39983994,-85.44029839
40102,AREQUIPA,AREQUIPA,ALTO SELVA ALEGRE,532177,Alto Selva Alegre,ALTO SELVA ALEGRE,3,1,GIPSED,401020001,,401020001,INEI,2470,-71.52072921,-16.37971058,-87.90043979
50502,AYACUCHO,LA MAR,ANCO,110356,Chiquintirca,CHIQUINTIRCA,3,1,IPS,505020001,,505020001,MED-GPS,3166,-73.7075277,-13.05903067,-86.76655837
50107,AYACUCHO,HUAMANGA,PACAYCASA,111831,Pacaycasa,PACAYCASA,3,1,IPS,501070001,,501070001,MED-GPS,2533,-74.21576965,-13.05777204,-87.27354169
80504,CUSCO,CANAS,LANGUI,126224,Langui,LANGUI,3,1,GIPSL,805040001,,805040001,MED-GPS,3964,-71.27288165,-14.43244252,-85.70532417
120208,JUNIN,CONCEPCION,MANZANARES,122783,San Miguel / Manzanares,SAN MIGUEL / MANZANARES,3,1,IPK,1202080001,,1202080001,INEI,3373,-75.34566922,-12.01535617,-87.36102539
211305,PUNO,YUNGUYO,OLLARAYA,543926,San Miguel De Ollaraya,SAN MIGUEL DE OLLARAYA,3,1,IPS,2113050001,,2113050001,MED-GPS,3847,-68.9908743,-16.21951706,-85.21039136
21909,ANCASH,SIHUAS,SAN JUAN,123654,Chullin,CHULLIN,3,1,IPS,219090001,,219090001,MED-GPS,2728,-77.58202105,-8.64628624,-86.22830729
120904,JUNIN,CHUPACA,HUACHAC,131665,Huachac,HUACHAC,3,1,IP,1209040001,,1209040001,MED-GPS,3358,-75.34158426,-12.0200879,-87.36167216
150718,LIMA,HUAROCHIRI,SAN DAMIAN,117546,San Damian,SAN DAMIAN,3,1,IPSL,1507180001,,1507180001,MED-GPS,3230,-76.39179014,-12.01738278,-88.40917292
211304,PUNO,YUNGUYO,CUTURAPI,519487,San Juan De Cuturapi,SAN JUAN DE CUTURAPI,3,1,GIPS,2113040001,,2113040001,MED-GPS,3855,-69.17753266,-16.2700725,-85.44760516
210406,PUNO,CHUCUITO,POMATA,117552,Pomata,POMATA,3,1,GIPS,2104060001,,2104060001,MED-GPS,3882,-69.29225418,-16.27324575,-85.56549993
211307,PUNO,YUNGUYO,UNICACHI,518372,Marcaja,MARCAJA,3,1,IP,2113070001,,2113070001,MED-GPS,3837,-68.96924053,-16.22475384,-85.19399437
211306,PUNO,YUNGUYO,TINICACHI,511784,Tinicachi / Sihualaya,TINICACHI / SIHUALAYA,3,1,GIPS,2113060001,,2113060001,MED-GPS,3840,-68.96198729,-16.19852605,-85.16051334
210503,PUNO,EL COLLAO,PILCUYO,122979,Pilcuyo,PILCUYO,3,1,PE,2105030001,,2105030001,MED-GPS,3833,-69.5543019,-16.11055246,-85.66485436
210113,PUNO,PUNO,SAN ANTONIO,123012,Juncal,JUNCAL,3,1,GIPS,2101130001,,2101130001,MED-GPS,4328,-70.34379351,-16.1403448,-86.48413831
