CODLOCAL,CEN_EDU_L,CODCPSIG,NOMCPSIG,FUENTE_LOC,X_LONGITUD,Y_LATITUD,Fecha,VAL,NALT_LOCAL,CORD_YX
669100,500,533209,SAN MARTIN DE PORRES,MED_GPS,-75.67032841500,-14.32672952200,7/8/2016,,335,-14.326729522-75.670328415
213407,22377 SANTA ROSA,111853,AGUADA DE PALOS,MED_GPS,-75.67654093000,-14.30993866700,7/9/2016,,338,-14.309938667-75.67654093
568262,303,112144,SAN ANTONIO,MED_GPS,-75.65204165700,-14.28269530100,7/9/2016,,362,-14.282695301-75.652041657
213332,75,132788,LA JOYA,MED_GPS,-75.68381913700,-14.27085168000,7/9/2016,,349,-14.27085168-75.683819137
634399,22352 SAGRADO CORAZON DE JESUS,114491,LOS FLORES,MED_GPS,-75.68700731900,-14.25955725500,7/9/2016,,359,-14.259557255-75.687007319
213327,72,110112,LA VENTA ALTA,MED_GPS,-75.69307297000,-14.25450284200,7/10/2016,,356,-14.254502842-75.69307297
568120,163,110201,PAMPA DE LOS CASTILLOS,MED_GPS,-75.64332840900,-14.24792086800,7/9/2016,,388,-14.247920868-75.643328409
213469,166,574292,LOS LOPEZ,MED_GPS,-75.65688369800,-14.23236185600,7/10/2016,,390,-14.232361856-75.656883698
568144,165,239549,SAN MATIAS,MED_GPS,-75.69912771800,-14.23213889700,7/10/2016,,368,-14.232138897-75.699127718
669176,507,659850,LA CAMPI├æA,MED_GPS,-75.65459155400,-14.19725439700,7/10/2016,,413,-14.197254397-75.654591554
693020,SANTA TERESITA DEL NI├æO JESUS,133389,SANTIAGO,MED_GPS,-75.71432065600,-14.19063003100,7/11/2016,,377,-14.190630031-75.714320656
213308,68,116676,HUAYLAS-HUARANGO MOCHO,MED_GPS,-75.69678500200,-14.19049452600,7/10/2016,,389,-14.190494526-75.696785002
213313,69,545149,RANCHERIA SAN CAYETANO,MED_GPS,-75.71302730700,-14.18866379900,7/18/2016,,377,-14.188663799-75.713027307
213247,07 DIVINO NI├æO JESUS,133389,SANTIAGO,MED_GPS,-75.71479738600,-14.18750576700,7/10/2016,,377,-14.187505767-75.714797386
628303,PERUANO AMERICANO KIDS,133389,SANTIAGO,MED_GPS,-75.71206762900,-14.18641267200,7/11/2016,,379,-14.186412672-75.712067629
213285,58,128279,MAYURIES,MED_GPS,-75.71634037600,-14.17807386400,7/10/2016,,380,-14.178073864-75.716340376
