264,Quechupata,-76.43769467,-9.586867
265,Ichic Ahuac,-76.78475489,-9.58535827
266,Paparagra,-76.60948891,-9.60776602
267,Guenayhuilca,-76.68054918,-9.6075252
268,Mina Bien Venida,-77.80618527,-9.60752341
269,Ogoragran,-76.70912999,-9.605849978
270,Pallayoc,-77.70840201,-9.88236603
271,Cashac,-76.7333394,-9.9076779
272,Minauchco,-75.89637265,-9.90730065
273,San Juan de Lucma Ragra,-76.54694167,-9.908675
274,Chacmapampa,-76.2851024,-9.90636652
275,Cachina,-76.75012027,-9.90634065
276,Shiricuchu,-76.64004364,-9.90617841
277,Mollepata,-76.37312333,-9.915038333
278,Gallo Cantanan,-77.5256759,-9.90613915
279,Hacienda Jancao,-76.22330907,-9.90275834
280,Chupan Chico,-76.55704816,-9.9059604
281,Tauripuquio,-76.60091901,-9.90588827
282,Chinchoragra,-76.35142402,-9.9058169
283,Hacienda Yurac Rumi,-76.88275802,-9.90572002
284,Unidad Yanesha,-75.07223917,-9.91484194
285,Paria Grande,-76.73003689,-9.90539853
286,Keroucru,-77.59008667,-9.899161667
287,Yanan Pampa Llampas,-76.86588667,-9.927298333
288,Avion Pampa,-76.53317333,-9.90403
289,Arteza,-76.98663777,-9.87471827
290,Huayan,-77.70810145,-9.87509522
291,Tuyo Paccha,-76.50805277,-9.87451478
292,Torno Vado,-76.9606319,-9.8744099
293,Sacrapampa,-76.68544864,-9.8813479
294,Machac Punco,-76.67361,-9.60645
295,Huasta,-77.54065765,-9.6073969
296,Quinta,-76.68707289,-9.60735316
297,Tambillo,-77.7628589,-9.6072544
298,Gochaucro,-76.8461189,-9.60724341
299,Parparac,-77.73131628,-9.6072324
300,Tantacoto,-76.5035354,-9.60712753
301,Marias,-76.7065324,-9.60712401
302,Nuevo Progreso,-75.06859796,-9.86993523
303,Shoclla,-77.36620752,-9.86993528
304,Taullivado,-76.96438239,-9.8699284
305,Puerto Victoria,-74.93368845,-9.87542669
306,Guergoto / Guerguito,-76.3749659,-9.89144953
307,Cakap / Cagap,-77.6886884,-9.89113715
308,Siqui Grande,-76.83608703,-9.8910774
309,Ranya / Rauya,-77.66139615,-9.89100403
310,Pucara,-76.68794078,-9.89076091
311,Loco Huachanan,-76.67526689,-9.89073515
312,Quera/Alto Quera,-76.27821454,-9.86435204
313,Hualuragra,-76.65046102,-9.8643399
314,Angas,-76.69520283,-9.86427024
315,Umajirurin,-76.91634577,-9.86406328
316,Tambillo,-76.04451854,-9.86380497
317,Nuevo Peru Obchis,-74.94931457,-9.83397708
318,Beatuyoc,-76.92294028,-9.86337015
319,Puente Vera,-76.4737734,-9.87730127
320,Santo Domingo,-77.77336177,-9.87723553
321,Poquian,-77.65115828,-9.87711478
322,Hueguetog,-76.80174565,-9.8770614
323,Punchao Chico,-76.41503247,-9.89792122
