UBIGEO,DEP,PROV,DIST,CODCP,NOMCP,MNOMCP,CAPITAL,CON_IE,NIVEL,CPINEI,CPINEI2,CPINEI_BKP,FUENTE_G,Z,XGD,YGD,Y_X_COORD
100317,HUANUCO,DOS DE MAYO,RIPAN,523740,Conobamba,CONOBAMBA,0,1,IP,1003170054,,1003170054,MED-GPS,3272,-76.82880901000,-9.84995463000,-9.84995462999996-76.82880901
100109,HUANUCO,HUANUCO,SANTA MARIA DEL VALLE,213497,Tarayoc,TARAYOC,0,0,,1001090062,,1001090062,IGN,2141,-76.20145077000,-9.84992602000,-9.84992601999994-76.20145077
100317,HUANUCO,DOS DE MAYO,RIPAN,244769,Huishllac,HUISHLLAC,0,0,,,,,IGN,3478,-76.83403965000,-9.84977728000,-9.84977727999996-76.83403965
100109,HUANUCO,HUANUCO,SANTA MARIA DEL VALLE,217768,Taulligan,TAULLIGAN,0,1,IP,1001090072,,1001090072,MED-GPS,1901,-76.14692387000,-9.84969623000,-9.84969622999995-76.14692387
100602,HUANUCO,LEONCIO PRADO,DANIEL ALOMIA ROBLES,621390,Maronilla,MARONILLA,0,0,,1006020021,,1006020021,INEI,987,-75.85608998500,-9.23279997700,-9.23279997699996-75.856089985
100602,HUANUCO,LEONCIO PRADO,DANIEL ALOMIA ROBLES,620700,Porvenir de Marona,PORVENIR DE MARONA,0,1,GP,1006020020,,1006020020,MED-GPS,810,-75.89885419000,-9.22971393000,-9.22971392999995-75.89885419
100505,HUANUCO,HUAMALIES,JIRCAN,546926,Tablachaca,TABLACHACA,0,0,,1005050019,,1005050019,IGN,3570,-76.71007977000,-9.22919490000,-9.22919489999998-76.7100797699999
100804,HUANUCO,PACHITEA,UMARI,538022,Cruz Punta,CRUZ PUNTA,0,1,IP,1008040033,,1008040033,MED-GPS,2656,-76.05468433000,-9.85825337000,-9.85825336999994-76.05468433
101106,HUANUCO,YAROWILCA,OBAS,231927,Huancayoc,HUANCAYOC,0,0,,1011060142,,1011060142,IGN,3983,-76.71809790000,-9.85821341000,-9.85821340999996-76.7180979
100301,HUANUCO,DOS DE MAYO,LA UNION,240294,Recodo,RECODO,0,0,,,,,IGN,3474,-76.86136615000,-9.85815777000,-9.85815776999993-76.86136615
101105,HUANUCO,YAROWILCA,JACAS CHICO,112394,Isipampa,ISIPAMPA,0,1,IP,,,,IMG_SATELITAL,3656,-76.54039421000,-9.84690284000,-9.84690283999993-76.54039421
100902,HUANUCO,PUERTO INCA,CODO DEL POZUZO,627022,Concepcion,CONCEPCION,0,0,,1008020056,,1008020056,INEI,1470,-75.66872500000,-9.86481500000,-9.86481499999996-75.6687249999999
100109,HUANUCO,HUANUCO,SANTA MARIA DEL VALLE,530241,Huayllapampa,HUAYLLAPAMPA,0,0,,,,,IGN,1837,-76.15786990000,-9.85798540000,-9.85798539999996-76.1578699
101106,HUANUCO,YAROWILCA,OBAS,128919,Mesapata,MESAPATA,0,0,,1011060092,,1011060092,IGN,3737,-76.69456827000,-9.85781453000,-9.85781452999993-76.6945682699999
101102,HUANUCO,YAROWILCA,CAHUAC,513885,Bolognesi,BOLOGNESI,0,1,P,1011020018,,1011020018,MED-GPS,3609,-76.63857383000,-9.85775308000,-9.85775307999995-76.63857383
190308,PASCO,OXAPAMPA,CONSTITUCION,124332,Constitucion / Ciudad Constitucion,CONSTITUCION / CIUDAD CONSTITUCION,3,1,GIPSKD,1903080001,1903080018,1903080001,MED-GPS,237,-75.01737381000,-9.85719725000,-9.85719724999996-75.01737381
100804,HUANUCO,PACHITEA,UMARI,529889,Huancaturpa,HUANCATURPA,0,1,IP,1008040019,,1008040019,MED-GPS,2886,-75.96980442000,-9.85750599000,-9.85750598999994-75.9698044199999
100801,HUANUCO,PACHITEA,PANAO,619096,Huanchag Grande,HUANCHAG GRANDE,0,1,IP,1008010004,,1008010004,MED-GPS,2764,-75.93549562000,-9.85747804000,-9.85747803999993-75.93549562
100804,HUANUCO,PACHITEA,UMARI,546624,Tierra Blanca,TIERRA BLANCA,0,0,,1008040023,,1008040023,IGN,2704,-76.05766103000,-9.85745240000,-9.85745239999994-76.05766103
100902,HUANUCO,PUERTO INCA,CODO DEL POZUZO,222395,Rumitambo,RUMITAMBO,0,0,,,,,IGN,267,-75.28601503000,-9.85741565000,-9.85741564999995-75.28601503
